word,sense,n_insts,acc
band,band_object,6,0.500000
band,band_music_group,8,1.000000
band,ALL,14,0.785714
bat,bat_animal,6,1.000000
bat,bat_object,8,0.625000
bat,ALL,14,0.785714
bow,bow_knot,6,0.500000
bow,bow_weapon,8,0.875000
bow,ALL,14,0.714286
button,button_tech,4,0.500000
button,button_clothing,6,0.833333
button,ALL,10,0.700000
chicken,chicken_animal,4,0.750000
chicken,chicken_food,6,0.666667
chicken,ALL,10,0.700000
glasses,glasses_eye,4,1.000000
glasses,glasses_drinking,6,0.500000
glasses,ALL,10,0.700000
letter,letter_alphabet,6,0.666667
letter,letter_mail,8,0.750000
letter,ALL,14,0.714286
line,line_geometry,4,0.750000
line,line_order,6,0.833333
line,ALL,10,0.800000
nail,nail_body_part,4,0.750000
nail,nail_object,6,0.666667
nail,ALL,10,0.700000
